# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-9.340000       0.003719       0.000069 
-9.320000       0.011997       0.000072 
-9.300000       0.009328       0.000074 
-9.280000       -0.001893       0.000076 
-9.260000       -0.011370       0.000078 
-9.240000       -0.010348       0.000081 
-9.220000       0.000300       0.000083 
-9.200000       0.010817       0.000087 
-9.180000       0.011504       0.000090 
-9.160000       0.001667       0.000093 
-9.140000       -0.009686       0.000096 
-9.120000       -0.012092       0.000098 
-9.100000       -0.003269       0.000100 
-9.080000       0.008720       0.000103 
-9.060000       0.012841       0.000107 
-9.040000       0.005243       0.000111 
-9.020000       -0.007139       0.000115 
-9.000000       -0.012913       0.000119 
-8.980000       -0.006705       0.000122 
-8.960000       0.005841       0.000124 
-8.940000       0.013198       0.000126 
-8.920000       0.008548       0.000130 
-8.900000       -0.003898       0.000135 
-8.880000       -0.012707       0.000141 
-8.860000       -0.009724       0.000146 
-8.840000       0.002382       0.000150 
-8.820000       0.012510       0.000153 
-8.800000       0.011307       0.000155 
-8.780000       -0.000192       0.000158 
-8.760000       -0.011445       0.000162 
-8.740000       -0.012065       0.000169 
-8.720000       -0.001401       0.000176 
-8.700000       0.010791       0.000183 
-8.680000       0.013278       0.000188 
-8.660000       0.003702       0.000190 
-8.640000       -0.009182       0.000192 
-8.620000       -0.013507       0.000195 
-8.600000       -0.005215       0.000201 
-8.580000       0.008137       0.000210 
-8.560000       0.014272       0.000220 
-8.540000       0.007482       0.000229 
-8.520000       -0.006055       0.000234 
-8.500000       -0.013893       0.000235 
-8.480000       -0.008751       0.000236 
-8.460000       0.004726       0.000239 
-8.440000       0.014169       0.000248 
-8.420000       0.010842       0.000261 
-8.400000       -0.002274       0.000275 
-8.380000       -0.013141       0.000285 
-8.360000       -0.011709       0.000290 
-8.340000       0.000800       0.000289 
-8.320000       0.012932       0.000288 
-8.300000       0.013495       0.000292 
-8.280000       0.001890       0.000304 
-8.260000       -0.011259       0.000323 
-8.240000       -0.013820       0.000342 
-8.220000       -0.003342       0.000355 
-8.200000       0.010613       0.000358 
-8.180000       0.015201       0.000353 
-8.160000       0.006123       0.000350 
-8.140000       -0.008339       0.000355 
-8.120000       -0.014872       0.000372 
-8.100000       -0.007374       0.000399 
-8.080000       0.007353       0.000425 
-8.060000       0.015783       0.000440 
-8.040000       0.010094       0.000439 
-8.020000       -0.004564       0.000429 
-8.000000       -0.014724       0.000421 
-7.980000       -0.010960       0.000429 
-7.960000       0.003375       0.000455 
-7.940000       0.015145       0.000494 
-7.920000       0.013476       0.000529 
-7.900000       -0.000190       0.000545 
-7.880000       -0.013323       0.000538 
-7.860000       -0.013784       0.000518 
-7.840000       -0.001030       0.000505 
-7.820000       0.013286       0.000517 
-7.800000       0.015974       0.000557 
-7.780000       0.004468       0.000613 
-7.760000       -0.010715       0.000659 
-7.740000       -0.015574       0.000674 
-7.720000       -0.005522       0.000655 
-7.700000       0.010301       0.000620 
-7.680000       0.017350       0.000601 
-7.660000       0.009057       0.000621 
-7.640000       -0.007038       0.000683 
-7.620000       -0.016125       0.000762 
-7.600000       -0.009737       0.000821 
